TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
Indigo_NPS_Raw_Data,CaptainIGACode,string,CaptainIGACode
Indigo_NPS_Raw_Data,International Flag,string,International Flag
Indigo_NPS_Raw_Data,Inflight Entertainment Experience,float,Inflight Entertainment Experience
Indigo_NPS_Raw_Data,Station Type,string,Station Type
Indigo_NPS_Raw_Data,Metro/Non-Metro Bifurcation,string,Metro/Non-Metro Bifurcation
Indigo_NPS_Raw_Data,IFS Region,string,IFS Region
Indigo_NPS_Raw_Data,FlightDuration,integer,FlightDuration
Indigo_NPS_Raw_Data,AOCS Region Departure 1,string,AOCS Region Departure 1
Indigo_NPS_Raw_Data,AOCS Region Arrival 1,string,AOCS Region Arrival 1
Indigo_NPS_Raw_Data,Survey: Name,string,Survey: Name
